emp_no,first_name,last_name,birth_date,from_date,to_date,title
90036,Susumu,Weisert,7/16/1962,6/10/1991,1/1/9999,Senior Engineer
90039,Atreye,Pelc,2/28/1962,10/17/1998,1/1/9999,Staff
90050,Berthier,Pietrzykowski,3/6/1962,6/30/1986,1/1/9999,Senior Staff
90056,Jaihie,Klyachko,4/17/1963,2/7/1985,1/1/9999,Engineer
90066,Krassimir,Conta,1/27/1964,8/5/1996,1/1/9999,Assistant Engineer
90068,Koichi,Zongker,7/15/1964,7/28/1998,1/1/9999,Engineer
90075,Boutros,Gopalakrishnan,2/11/1962,12/26/1991,1/1/9999,Senior Staff
90076,Shem,Kranzdorf,1/1/1962,10/14/1995,1/1/9999,Senior Engineer
90077,Vivian,Guerreiro,1/24/1965,7/8/1991,1/1/9999,Assistant Engineer
90082,Weiye,Noriega,9/19/1964,12/12/1986,1/1/9999,Senior Engineer
90084,Renny,Bale,1/1/1965,11/22/1989,1/1/9999,Engineer
90088,Ronghao,Anily,4/4/1962,1/29/1998,1/1/9999,Engineer
90093,Richara,Schwabacher,11/13/1962,5/25/1993,1/1/9999,Senior Staff
90095,Chuanyi,Brandsma,5/29/1963,8/22/1997,1/1/9999,Staff
90106,Marsha,Cappelletti,3/28/1964,5/28/1988,1/1/9999,Staff
90118,Sariel,Perna,11/29/1963,1/3/1988,1/1/9999,Staff
90124,Arlette,Maquelin,2/15/1962,8/21/1993,1/1/9999,Engineer
90126,Jaihie,Itschner,1/30/1964,5/15/1988,1/1/9999,Senior Engineer
90127,Yannik,Poehlman,1/22/1962,1/16/1993,1/1/9999,Senior Engineer
90134,Breannda,Bashian,3/21/1963,8/1/1994,1/1/9999,Staff
90141,Gio,Strooper,5/18/1964,1/27/1995,1/1/9999,Senior Engineer
90144,Renny,Oskamp,11/11/1963,12/20/1993,1/1/9999,Senior Staff
90155,Shir,Rosis,5/26/1964,9/28/1990,1/1/9999,Senior Staff
90160,Shaz,Malabarba,6/8/1964,8/22/1988,1/1/9999,Staff
90164,Hongzhu,Cooke,10/16/1962,11/8/1985,1/1/9999,Senior Engineer
90167,Toney,Radivojevic,8/30/1962,2/19/1987,1/1/9999,Senior Engineer
90169,Emran,Flasterstein,3/11/1964,11/13/1991,1/1/9999,Senior Staff
90173,Brewster,Sidhu,9/22/1963,7/4/1991,1/1/9999,Senior Engineer
90176,Margo,Spell,3/11/1962,1/4/1992,1/1/9999,Engineer
90194,Youpyo,Reinhart,10/30/1964,7/16/1997,1/1/9999,Engineer
90200,Shaunak,Kusalik,10/29/1964,2/13/1987,1/1/9999,Technique Leader
90206,Fusako,Matzen,5/8/1964,9/5/1998,1/1/9999,Engineer
90211,Bader,Denis,1/15/1965,10/6/1997,1/1/9999,Engineer
90214,Dekang,Awdeh,11/5/1964,12/7/1986,1/1/9999,Senior Staff
90222,Shaibal,Pehl,5/22/1964,1/31/1990,1/1/9999,Senior Staff
90225,Mabhin,Boguraev,2/29/1964,9/30/1993,1/1/9999,Engineer
90231,Golgen,Muniz,7/4/1964,4/6/1992,1/1/9999,Senior Engineer
90240,Percy,Swiss,5/9/1963,5/22/1993,1/1/9999,Senior Staff
90241,Cathie,Comellas,3/27/1963,1/8/1996,1/1/9999,Engineer
90246,Samphel,Marrevee,10/4/1963,8/22/1997,1/1/9999,Engineer
90248,Aiman,Yemenis,6/13/1964,1/22/2000,1/1/9999,Staff
90253,Freyja,Karlin,7/29/1963,12/21/1994,1/1/9999,Staff
90254,Wilmer,Belinskaya,7/24/1962,7/9/1986,1/1/9999,Senior Engineer
90257,Adas,Roisin,5/12/1963,9/30/2001,1/1/9999,Engineer
90266,Petter,Garnick,12/26/1962,2/23/1993,1/1/9999,Senior Engineer
90276,Abdelghani,Greibach,8/13/1963,1/26/1997,1/1/9999,Technique Leader
90286,Arto,Bugaenko,11/19/1962,1/15/1993,1/1/9999,Staff
90292,Koichi,Assaf,1/9/1965,5/26/1990,1/1/9999,Senior Engineer
90296,Larisa,Stavenow,2/6/1964,11/21/1997,1/1/9999,Engineer
90301,Christoph,Pocchiola,12/19/1963,8/10/1988,1/1/9999,Senior Staff
90311,Eldridge,Rabejac,11/3/1963,4/6/1994,1/1/9999,Senior Staff
90322,Pintsang,Rajcani,9/9/1964,2/26/1986,1/1/9999,Assistant Engineer
90324,Edwin,Nanard,3/13/1962,7/9/1997,1/1/9999,Engineer
90334,Radhika,Guting,5/3/1963,4/7/1995,1/1/9999,Assistant Engineer
90351,Kwee,Munawer,6/1/1963,12/11/1985,1/1/9999,Staff
90352,Jenwei,Karunanithi,11/13/1964,2/17/1999,1/1/9999,Staff
90355,Tomofumi,Qiwen,12/15/1964,7/24/1990,1/1/9999,Senior Staff
90360,JoAnna,Waleschkowski,7/23/1964,6/9/1999,1/1/9999,Senior Engineer
90361,Marsja,Lally,5/11/1962,2/23/1988,1/1/9999,Staff
90363,Dipankar,Lundstrom,7/16/1963,5/8/1990,1/1/9999,Senior Staff
90370,Jeanne,Ranta,6/19/1962,2/17/1992,1/1/9999,Senior Engineer
90377,Sangeeta,Auyong,9/12/1962,11/18/1999,1/1/9999,Senior Staff
90388,Karoline,Versino,5/10/1962,12/24/1991,1/1/9999,Staff
90404,Bernt,Kuszyk,3/17/1964,10/6/1995,1/1/9999,Engineer
90409,Eirik,England,3/16/1964,12/11/1992,1/1/9999,Senior Engineer
90414,Alain,Ladret,5/14/1964,12/10/1986,1/1/9999,Senior Engineer
90420,Fumino,Koblick,7/13/1963,1/25/1999,1/1/9999,Staff
90424,Nahum,England,10/20/1963,7/7/1999,1/1/9999,Senior Engineer
90426,Jaana,Peac,3/3/1964,12/6/1986,1/1/9999,Engineer
90427,Vitaly,Braccini,9/6/1963,1/31/1989,1/1/9999,Senior Engineer
90446,Anneli,Yemenis,4/30/1964,11/12/1989,1/1/9999,Staff
90451,Guther,Garnier,6/22/1963,4/20/1986,1/1/9999,Staff
90455,Mingzeng,Winter,12/6/1963,10/5/1995,1/1/9999,Engineer
90460,Satyanarayana,Lambe,3/13/1964,9/1/1990,1/1/9999,Technique Leader
90465,Duri,Mamelak,3/13/1964,12/24/1998,1/1/9999,Engineer
90468,Trygve,Bresenham,10/18/1964,4/25/1991,1/1/9999,Engineer
90469,Unal,Emiris,9/29/1962,9/18/1987,1/1/9999,Technique Leader
90472,Nidapan,Lores,6/26/1964,2/18/1996,1/1/9999,Senior Engineer
90474,Jeong,Jakobus,12/17/1962,8/27/1993,1/1/9999,Engineer
90478,Goetz,Liesche,7/13/1962,3/11/1996,1/1/9999,Engineer
90479,Yinghua,Pintelas,7/13/1964,11/21/1995,1/1/9999,Senior Engineer
90485,Jaewon,Stamatiou,9/13/1964,3/3/1988,1/1/9999,Staff
90490,Premsyl,Erev,12/20/1963,6/7/1985,1/1/9999,Engineer
90491,Lucian,Salinas,10/27/1963,11/12/1988,1/1/9999,Engineer
90492,Hitomi,Hartvigsen,2/16/1963,1/4/1999,1/1/9999,Staff
90500,Zdislav,Yurov,6/7/1963,6/2/1999,1/1/9999,Engineer
90502,Baruch,Jenevein,2/17/1962,8/28/1992,1/1/9999,Technique Leader
90503,Rafols,Cromarty,12/3/1963,9/11/1997,1/1/9999,Senior Engineer
90507,Tesuro,Czap,8/30/1964,7/1/1989,1/1/9999,Engineer
90510,Leaf,Ventosa,3/30/1964,6/11/1987,1/1/9999,Senior Engineer
90518,Fumiko,Chepyzhov,1/24/1965,1/28/1988,1/1/9999,Staff
90523,Khaled,Puppo,11/18/1964,12/24/1988,1/1/9999,Senior Engineer
90533,Arch,Maliniak,3/28/1964,5/24/1996,1/1/9999,Senior Engineer
90534,Sachio,Stifter,10/7/1962,6/15/1985,1/1/9999,Staff
90537,Dhritiman,Erol,7/23/1962,6/27/1989,1/1/9999,Senior Staff
90539,Uzi,Perz,6/8/1963,7/14/1987,1/1/9999,Senior Staff
90540,Aiman,Panwar,4/29/1962,1/28/1994,1/1/9999,Technique Leader
90547,Isaac,Gruenwald,1/10/1964,6/19/1994,1/1/9999,Senior Engineer
90552,Teruyuki,Shackel,11/2/1964,12/17/1994,1/1/9999,Engineer
90558,Kiam,Anick,1/20/1964,6/4/1993,1/1/9999,Staff
90560,Sakthirel,Janocha,12/5/1964,9/8/1991,1/1/9999,Senior Staff
90568,Bernardo,Bhattacharjee,11/12/1964,10/13/1994,1/1/9999,Senior Staff
90574,Martina,Domenig,8/12/1963,1/31/1998,1/1/9999,Senior Staff
90585,Kristine,Kusakabe,10/2/1962,3/3/1992,1/1/9999,Engineer
90590,Shigeu,Kenevan,11/11/1962,6/12/1997,1/1/9999,Senior Engineer
90599,Pranjal,Bazelow,10/3/1963,3/15/1998,1/1/9999,Senior Engineer
90601,Mori,Bellone,11/25/1963,1/30/1993,1/1/9999,Technique Leader
90608,Limsoon,Portugali,4/17/1962,1/10/1995,1/1/9999,Staff
90612,Brendon,Pillow,7/1/1964,5/8/1990,1/1/9999,Senior Staff
90614,Yonghoan,Trogemann,1/29/1965,9/23/1988,1/1/9999,Engineer
90624,Tadahiko,Atrawala,2/15/1964,3/21/1998,1/1/9999,Assistant Engineer
90629,Babette,Gewali,1/23/1964,1/1/1997,1/1/9999,Technique Leader
90638,Kankanahalli,Boyle,1/2/1964,7/15/1987,1/1/9999,Engineer
90644,Jeanne,Gischer,6/15/1964,3/8/1999,1/1/9999,Engineer
90646,Nimmagadda,Angelopoulos,4/2/1964,12/13/1996,1/1/9999,Staff
90647,Vidar,Strehl,6/16/1962,3/13/1995,1/1/9999,Senior Staff
90649,Sergi,Rosch,8/29/1964,11/26/1985,1/1/9999,Engineer
90653,Mads,Aingworth,5/13/1962,10/12/1999,1/1/9999,Technique Leader
90659,Domenick,Pouyioutas,11/8/1962,6/25/1994,1/1/9999,Staff
90665,Pranav,Bolsens,4/26/1964,10/7/1987,1/1/9999,Assistant Engineer
90666,Vasilii,Genther,12/29/1962,8/1/1997,1/1/9999,Senior Engineer
90671,Tua,Berstel,3/10/1963,6/25/1995,1/1/9999,Engineer
90675,Rasiah,Penn,9/1/1962,6/25/1999,1/1/9999,Senior Engineer
90678,Florina,Lorcy,10/14/1962,5/29/1987,1/1/9999,Senior Engineer
90682,Jouko,Antonakopoulos,12/23/1963,10/22/1990,1/1/9999,Engineer
90685,Khedija,Warwick,4/20/1963,1/20/2000,1/1/9999,Engineer
90691,Giordano,Acton,9/17/1964,1/22/1997,1/1/9999,Senior Engineer
90692,Rajmohan,DasSarma,1/3/1965,9/14/1985,1/1/9999,Senior Staff
90701,Bezalel,Falby,5/26/1963,2/8/1997,1/1/9999,Staff
90702,Vincent,Lakshmanan,10/11/1963,11/3/1997,1/1/9999,Engineer
90716,Otmar,Lyonns,10/29/1964,7/25/1999,1/1/9999,Engineer
90721,Georgi,Schreiter,12/10/1962,4/10/1997,1/1/9999,Senior Engineer
90727,Gilbert,Thibadeau,3/5/1964,10/23/1986,1/1/9999,Staff
90732,Hideo,Schaaf,8/8/1963,7/16/1986,1/1/9999,Senior Engineer
90733,Niclas,Improta,1/16/1964,10/31/1987,1/1/9999,Staff
90740,Gretta,Lanzelotte,9/27/1963,2/18/1985,1/1/9999,Engineer
90741,Kristinn,Bharadwaj,6/28/1963,1/31/1990,1/1/9999,Senior Engineer
90752,Martins,Mahmud,1/24/1964,1/11/1995,1/1/9999,Staff
90769,Duke,Slobodova,9/21/1964,9/10/1989,1/1/9999,Senior Engineer
90772,Tiina,Cannane,7/13/1964,12/15/1996,1/1/9999,Assistant Engineer
90779,Subbu,Linnainmaa,9/25/1962,3/21/1996,1/1/9999,Engineer
90806,Hyuckchul,Nitta,3/10/1963,8/21/1990,1/1/9999,Senior Staff
90807,Khun,Thebaut,11/17/1962,12/18/1985,1/1/9999,Engineer
90814,Susanna,Jonsson,2/5/1962,11/11/1998,1/1/9999,Staff
90816,Gian,Stifter,4/30/1962,11/14/1997,1/1/9999,Staff
90819,Domenico,Chimia,4/24/1964,7/29/1993,1/1/9999,Senior Staff
90823,Isaac,Ashish,12/10/1963,10/9/1987,1/1/9999,Senior Staff
90825,Tsuneo,Marchesini,7/25/1964,1/12/1986,1/1/9999,Senior Engineer
90847,Honesty,Alpay,3/4/1963,11/24/1990,1/1/9999,Staff
90849,Khoa,Thummel,7/26/1963,8/16/1992,1/1/9999,Staff
90850,Masaki,Linares,8/19/1962,9/24/1991,1/1/9999,Staff
90860,Christophe,Turnbull,6/12/1964,3/2/2001,1/1/9999,Senior Staff
90863,Shaz,Ohori,3/24/1964,11/29/1987,1/1/9999,Senior Engineer
90874,Mara,Schrift,5/19/1963,8/27/1990,1/1/9999,Senior Staff
90875,Tetsurou,Vingron,2/1/1963,11/26/1989,1/1/9999,Senior Staff
90881,Nadjib,Syang,2/12/1962,6/1/1997,1/1/9999,Staff
90888,Tokuyasu,Miara,3/9/1963,8/21/1987,1/1/9999,Engineer
90896,Youpyo,Radhakrishnan,5/24/1963,11/30/1999,1/1/9999,Senior Engineer
90899,Arch,Lieberherr,11/26/1962,3/21/1997,1/1/9999,Staff
90902,Vitaly,Beeson,11/14/1964,6/20/1985,1/1/9999,Staff
90904,Lubomir,Motley,10/2/1963,2/25/1991,1/1/9999,Senior Staff
90915,Arnould,Karlin,4/17/1962,10/4/1986,1/1/9999,Engineer
90919,Arnd,Oehlmann,7/10/1964,12/19/1996,1/1/9999,Senior Staff
90924,Fusako,Giarratana,7/5/1962,6/2/1994,1/1/9999,Staff
90929,Leen,Rattan,10/20/1964,9/26/1999,1/1/9999,Senior Staff
90930,Aloys,Vieri,6/27/1963,1/20/1989,1/1/9999,Senior Staff
90933,Gaetan,Suri,7/8/1962,7/25/1996,1/1/9999,Engineer
90937,Wuxu,Leaver,10/2/1963,6/22/1988,1/1/9999,Engineer
90953,Mani,Vanwelkenhuysen,2/9/1964,1/19/1997,1/1/9999,Staff
90959,Zorica,Perko,12/16/1964,9/9/1998,1/1/9999,Staff
90968,Mooi,Schaar,9/23/1962,11/8/1994,1/1/9999,Engineer
90972,Dinkar,Garigliano,5/16/1962,10/14/1986,1/1/9999,Assistant Engineer
90980,Chinhyun,Lund,10/25/1964,8/15/1993,1/1/9999,Staff
90981,Nitsan,Aloia,7/23/1963,4/24/1999,1/1/9999,Engineer
90999,Szabolcs,Marzano,11/19/1964,2/10/1986,1/1/9999,Engineer
91002,Kwan,Gruenwald,2/8/1963,7/9/1994,1/1/9999,Engineer
91004,Valter,Bernick,2/13/1964,11/18/1991,1/1/9999,Senior Staff
91006,Etsuo,Vesel,7/12/1964,5/1/1986,1/1/9999,Senior Staff
91017,Sampalli,Vuskovic,8/20/1963,1/18/1990,1/1/9999,Senior Engineer
91027,Etsuo,Alpay,2/14/1964,4/3/1988,1/1/9999,Technique Leader
91033,Rosli,Clouatre,1/22/1962,1/1/1999,1/1/9999,Staff
91036,Sanjai,Silva,2/15/1962,5/6/1999,1/1/9999,Engineer
91037,Xiping,Langford,8/7/1964,6/6/1994,1/1/9999,Engineer
91039,Valeri,Mansanne,4/15/1962,4/17/1986,1/1/9999,Senior Staff
91040,Harjit,Kilgour,11/22/1962,8/12/1994,1/1/9999,Assistant Engineer
91046,Kokou,Streit,5/13/1963,8/14/1986,1/1/9999,Senior Engineer
91053,Leah,Waschkowski,7/25/1964,12/6/1987,1/1/9999,Engineer
91057,Teiji,Kirkerud,10/10/1964,3/28/1995,1/1/9999,Staff
91066,Krisda,Standera,9/16/1962,11/4/1994,1/1/9999,Senior Engineer
91067,Mikhail,Zhang,3/11/1962,2/2/1996,1/1/9999,Engineer
91070,Uwe,Fairtlough,8/25/1963,6/21/1991,1/1/9999,Senior Staff
91072,Noritoshi,Lorch,6/12/1964,8/19/1994,1/1/9999,Engineer
91085,Mabo,Cyne,6/21/1964,2/17/1994,1/1/9999,Staff
91095,Ewing,Hockney,6/10/1964,11/6/1999,1/1/9999,Staff
91100,Jayesh,Munro,12/15/1963,6/30/1993,1/1/9999,Staff
91103,Zejun,Schwabacher,6/9/1964,11/9/1992,1/1/9999,Assistant Engineer
91114,Spyrose,Bail,3/2/1964,1/29/1992,1/1/9999,Staff
91120,Kristinn,Randt,8/21/1962,4/7/1990,1/1/9999,Senior Engineer
91124,Isamu,Erez,7/28/1962,5/23/1989,1/1/9999,Engineer
91129,Phuoc,Gihr,5/12/1963,3/20/1991,1/1/9999,Engineer
91134,Odinaldo,McClure,9/24/1962,7/10/1993,1/1/9999,Senior Staff
91137,Christ,Bierman,6/24/1962,9/26/1990,1/1/9999,Senior Staff
91138,Dipankar,Ladret,7/19/1963,8/30/1987,1/1/9999,Senior Staff
91140,Gian,Hockney,2/1/1964,3/6/1988,1/1/9999,Technique Leader
91143,Fuqing,Bierman,11/1/1964,2/1/1995,1/1/9999,Senior Engineer
91155,Dipayan,Molberg,4/10/1963,6/27/1995,1/1/9999,Senior Engineer
91163,Yakkov,Feinberg,5/3/1963,8/14/1985,1/1/9999,Senior Staff
91165,Geraldo,Kavanagh,5/14/1964,11/2/1999,1/1/9999,Staff
91171,Toshimitsu,Quaggetto,4/8/1964,4/26/1991,1/1/9999,Senior Engineer
91172,Kazuhisa,Melter,1/19/1965,7/16/1987,1/1/9999,Staff
91176,Dmitri,Slutz,6/28/1964,6/3/1998,1/1/9999,Senior Staff
91181,Narain,Eldridge,8/23/1962,6/30/1994,1/1/9999,Engineer
91182,Lucien,Schwartzburd,1/4/1965,8/25/1988,1/1/9999,Engineer
91183,Jamaludin,Thibadeau,5/2/1963,7/9/1998,1/1/9999,Engineer
91192,Tzvetan,Kisuki,3/23/1962,9/28/1992,1/1/9999,Assistant Engineer
91200,Nikolaus,Bahl,11/16/1964,9/5/1990,1/1/9999,Senior Staff
91209,Subbu,Pesch,3/22/1962,5/7/1995,1/1/9999,Senior Engineer
91229,Yahiko,Hebden,1/1/1965,10/3/1996,1/1/9999,Engineer
91231,Arunachalam,Comellas,2/13/1964,9/5/1987,1/1/9999,Senior Engineer
91236,Falguni,Murthy,5/20/1962,6/23/1991,1/1/9999,Senior Staff
91237,Chinhyun,Murthy,11/4/1963,5/3/1996,1/1/9999,Staff
91241,Reuven,Szmurlo,3/9/1964,9/16/1988,1/1/9999,Engineer
91242,Akemi,Lemarechal,9/6/1962,10/25/1993,1/1/9999,Technique Leader
91245,Marla,Siepmann,8/5/1963,10/14/1994,1/1/9999,Engineer
91248,Akeno,Chenney,8/14/1963,9/7/1989,1/1/9999,Staff
91253,Chanjung,Pargaonkar,2/15/1962,12/15/1995,1/1/9999,Senior Engineer
91254,Tommaso,Garnier,5/24/1962,6/10/1990,1/1/9999,Senior Staff
91255,Karoline,Ghelli,10/2/1964,5/25/1985,1/1/9999,Engineer
91256,Gunilla,Milicic,1/13/1965,1/9/1998,1/1/9999,Staff
91257,Berni,Taneja,1/10/1963,8/26/1998,1/1/9999,Engineer
91261,Adil,Munos,9/15/1964,11/12/1990,1/1/9999,Staff
91262,Somnath,Quaggetto,8/10/1963,6/21/1989,1/1/9999,Staff
91266,Mitsuyuki,Karcich,5/3/1964,8/18/1992,1/1/9999,Staff
91272,Premsyl,Chachaty,6/12/1963,7/12/1995,1/1/9999,Senior Staff
91282,Ghassan,Gelosh,7/14/1962,1/19/1986,1/1/9999,Staff
91286,Toong,Constantine,5/25/1963,12/10/1990,1/1/9999,Engineer
91292,Lorien,Luca,11/10/1964,7/14/1996,1/1/9999,Staff
91294,Bezalel,Erva,11/2/1964,10/27/1985,1/1/9999,Senior Engineer
91300,Willard,Erdi,6/27/1963,12/2/1988,1/1/9999,Engineer
91301,Mooi,Coors,10/12/1963,9/17/2000,1/1/9999,Staff
91303,Denny,Radhakrishnan,10/5/1963,1/11/1988,1/1/9999,Senior Staff
91305,Jinxi,Haldar,10/6/1962,1/21/1994,1/1/9999,Engineer
91309,Shalesh,Spelt,12/16/1964,10/9/1997,1/1/9999,Staff
91318,Jiafu,Huhdanpaa,10/19/1963,2/12/2001,1/1/9999,Engineer
91319,Jackson,Gill,10/23/1963,1/6/1991,1/1/9999,Senior Staff
91322,Bingning,Simkin,1/11/1964,2/13/1993,1/1/9999,Engineer
91333,Lobel,Stafford,1/27/1965,11/29/1998,1/1/9999,Staff
91336,Zhonghui,Feinberg,3/22/1964,9/8/1992,1/1/9999,Senior Engineer
91337,Martijn,Merli,5/1/1962,9/14/1992,1/1/9999,Senior Engineer
91354,Martina,Jullig,4/21/1964,12/16/1991,1/1/9999,Senior Engineer
91356,Nahla,Mandelberg,10/9/1962,10/1/1988,1/1/9999,Technique Leader
91358,Patricia,Gubsky,1/31/1964,8/21/1994,1/1/9999,Senior Engineer
91361,Diederik,Kilgore,8/18/1964,5/20/1999,1/1/9999,Engineer
91378,Aruna,Halevi,6/1/1964,2/26/1999,1/1/9999,Technique Leader
91384,Zongyan,Jansen,3/26/1962,9/12/1985,1/1/9999,Senior Staff
91385,JiYoung,Gerteisen,7/21/1962,11/28/1994,1/1/9999,Engineer
91386,Vugranam,Felcyn,10/8/1962,11/12/1990,1/1/9999,Senior Staff
91389,Zhaofang,Rande,1/30/1962,4/21/1994,1/1/9999,Staff
91391,JoAnne,Passafiume,10/18/1964,8/19/1985,1/1/9999,Engineer
91415,Jamaludin,Nilsson,1/4/1965,1/15/1987,1/1/9999,Staff
91419,Ayakannu,Schonegge,5/4/1963,11/7/1997,1/1/9999,Staff
91433,Georg,Pesch,1/4/1963,3/13/1986,1/1/9999,Senior Staff
91434,Uno,Toyoshima,3/26/1962,11/23/1998,1/1/9999,Engineer
91437,Zhiwei,Kragelund,2/24/1964,5/26/1991,1/1/9999,Staff
91440,Sanjay,Cooley,2/21/1962,8/31/1988,1/1/9999,Senior Engineer
91445,Phuoc,Alblas,4/24/1962,2/7/1997,1/1/9999,Engineer
91460,Kirk,Terekhov,1/14/1964,8/14/1985,1/1/9999,Engineer
91467,Ewing,Hettesheimer,10/20/1964,8/23/1991,1/1/9999,Senior Staff
91470,Radhia,Condotta,1/5/1963,2/10/1986,1/1/9999,Staff
91488,Kerhong,Riesenhuber,1/6/1963,9/15/1985,1/1/9999,Senior Engineer
91492,Gudjon,Biron,8/5/1964,10/19/1992,1/1/9999,Senior Engineer
91509,Mana,Trelles,6/1/1962,8/2/1994,1/1/9999,Engineer
91515,Yuguang,Wynblatt,1/23/1962,9/23/1994,1/1/9999,Engineer
91529,Wuxu,Serra,10/13/1963,2/12/1991,1/1/9999,Senior Staff
91530,Subhash,Farris,6/29/1963,6/29/1993,1/1/9999,Senior Engineer
91532,Hirochika,Kuszyk,8/6/1963,5/1/1991,1/1/9999,Engineer
91536,Sarita,Luck,12/9/1963,7/2/2001,1/1/9999,Staff
91537,Eishiro,Rosar,3/28/1964,4/5/1994,1/1/9999,Senior Staff
91540,Koldo,Demian,3/21/1963,8/19/1989,1/1/9999,Senior Engineer
91542,Houman,Selenyi,1/4/1962,11/25/1988,1/1/9999,Staff
91550,Xuedong,Swab,8/25/1964,6/5/1993,1/1/9999,Engineer
91552,Xiaocheng,Szilard,8/16/1963,8/31/1985,1/1/9999,Senior Staff
91555,Angel,Pauthner,1/15/1964,6/18/1986,1/1/9999,Staff
91567,Zine,Siksek,9/8/1962,3/27/2001,1/1/9999,Senior Staff
91568,Shmuel,Werthner,4/27/1962,6/2/1993,1/1/9999,Senior Staff
91569,Moie,Linnainmaa,8/19/1962,7/24/1986,1/1/9999,Engineer
91573,Constantijn,Kandlur,1/24/1962,12/20/1988,1/1/9999,Senior Staff
91577,Elrique,Brendel,1/20/1964,3/9/2000,1/1/9999,Staff
91581,Tuval,Lundstrom,7/23/1962,11/18/1998,1/1/9999,Senior Engineer
91592,Shooichi,Fiutem,11/23/1963,4/29/1992,1/1/9999,Senior Staff
91604,Ronghao,Giarratana,1/1/1962,7/12/1999,1/1/9999,Staff
91606,Pintsang,Gyorkos,12/25/1963,11/29/1989,1/1/9999,Senior Staff
91615,Shmuel,Litvinov,8/28/1964,10/9/1996,1/1/9999,Senior Staff
91616,Lansing,Guenter,7/1/1963,4/24/1994,1/1/9999,Staff
91639,Sverrir,Lamma,1/24/1962,6/10/1997,1/1/9999,Senior Staff
91642,Itzchak,Tsukuda,1/18/1962,12/5/1992,1/1/9999,Engineer
91645,Kankanahalli,Solares,6/14/1964,3/20/1995,1/1/9999,Engineer
91648,Dmitry,Msuda,1/29/1965,10/22/1988,1/1/9999,Senior Staff
91649,Erez,Beausoleil,1/2/1964,11/15/1989,1/1/9999,Senior Engineer
91650,Subhrajyoti,Laurillard,10/3/1963,7/4/1987,1/1/9999,Staff
91660,Chriss,Sifakis,9/30/1962,5/15/1992,1/1/9999,Engineer
91665,Aimee,Danley,6/16/1963,9/17/1999,1/1/9999,Staff
91677,Ghassan,Lienhardt,11/15/1963,10/21/1995,1/1/9999,Engineer
91684,Arco,Setiz,6/4/1964,1/25/1992,1/1/9999,Senior Engineer
91690,Aamod,Xiaoshan,8/6/1962,7/28/1998,1/1/9999,Staff
91697,Jayesh,Cincotta,5/11/1964,10/18/1987,1/1/9999,Senior Engineer
91706,Wanqing,Ghelli,5/5/1963,5/7/1998,1/1/9999,Senior Engineer
91712,Torsten,Plumb,2/26/1963,1/1/1994,1/1/9999,Senior Engineer
91715,Patricia,Goldhammer,7/13/1963,4/26/1985,1/1/9999,Senior Engineer
91717,Zita,Carrera,10/26/1964,10/9/1985,1/1/9999,Staff
91725,Menkae,Iwayama,9/10/1962,5/2/1994,1/1/9999,Technique Leader
91736,Bedir,Gurbaxani,3/31/1964,2/22/1986,1/1/9999,Senior Engineer
91741,Georgy,Marrakchi,12/27/1964,7/25/1989,1/1/9999,Senior Staff
91743,Kitty,Brickell,10/29/1964,11/8/1993,1/1/9999,Senior Staff
91744,Gio,Kaiser,3/15/1963,11/8/1995,1/1/9999,Engineer
91749,Seshu,Noriega,12/25/1963,1/19/2001,1/1/9999,Engineer
91752,Oldrich,Narahara,2/16/1963,11/22/1993,1/1/9999,Engineer
91754,Ortrud,Msuda,3/28/1964,1/12/1988,1/1/9999,Engineer
91758,Ishfaq,Herber,12/21/1964,8/26/1994,1/1/9999,Senior Staff
91769,Ghassan,Nivat,7/22/1962,8/6/1999,1/1/9999,Engineer
91780,Florian,Ladret,3/6/1964,8/7/1999,1/1/9999,Senior Engineer
91781,Emran,Broomell,3/31/1963,3/11/1990,1/1/9999,Assistant Engineer
91786,Feiyu,Rajala,12/16/1962,7/13/1986,1/1/9999,Senior Staff
91792,Marsha,Boreale,5/23/1964,3/1/1991,1/1/9999,Engineer
91797,Kannan,Uehara,3/12/1964,7/1/1994,1/1/9999,Technique Leader
91804,Anestis,Irland,9/19/1964,6/14/2001,1/1/9999,Staff
91810,Martien,Baek,11/30/1962,10/5/1995,1/1/9999,Engineer
91814,Vugranam,DiGiano,6/11/1962,11/11/1986,1/1/9999,Senior Engineer
91825,Uwe,Hofstetter,10/5/1964,6/13/1985,1/1/9999,Technique Leader
91826,Adam,Schwaller,11/16/1964,10/20/1986,1/1/9999,Senior Engineer
91828,Amstein,Hashii,6/12/1963,3/7/1998,1/1/9999,Staff
91834,Xiaobin,Ballarin,6/12/1963,1/18/1987,1/1/9999,Senior Engineer
91841,Mansur,Ruemmler,3/5/1962,7/9/1998,1/1/9999,Engineer
91858,Valdiodio,Cyre,4/19/1962,1/5/1988,1/1/9999,Senior Engineer
91868,Gao,Lipner,7/17/1963,12/27/1989,1/1/9999,Engineer
91883,Arlette,Bultermann,10/17/1964,1/15/1995,1/1/9999,Technique Leader
91886,Christfried,Lupu,6/30/1963,3/3/1987,1/1/9999,Staff
91893,Holgard,Sullins,9/5/1963,8/8/1989,1/1/9999,Staff
91899,Dannz,Pileggi,12/9/1962,12/19/1999,1/1/9999,Engineer
91917,Hidekazu,Luef,8/19/1962,1/4/1992,1/1/9999,Senior Engineer
